raw,age
0,3.1
0.06,3.1
0,3.2
0.13,3.2
0,3.5
0.14,3.5
0.48,3.5
0.81,3.5
0.26,3.6
0.39,3.6
0.7,3.7
0,3.8
0.21,3.9
0.67,3.9
0.06,4.1
0.19,4.1
0.67,4.1
1.2,4.1
0.21,4.2
0.54,4.2
0.75,4.3
0.9,4.3
0,4.4
0.19,4.4
1.15,4.5
0.5,4.6
0.69,4.8
0.9,4.8
0.67,5.1
0,5.2
0.75,5.4
0.65,5.5
0.67,5.5
0.72,5.5
0.9,5.5
0.73,5.6
0.23,5.7
0.67,5.7
0.7,5.7
0.52,5.8
0.79,5.8
0.57,5.9
0.65,5.9
0.84,5.9
0.52,6.1
0,6.3
0,6.3
0,6.3
0.43,6.3
0.46,6.3
0.5,6.3
0.5,6.4
0.52,6.4
0.26,6.5
0.26,6.5
0.48,6.5
0.48,6.5
0.5,6.5
0.59,6.5
0,6.7
0.57,6.7
0.76,6.7
0.84,6.7
0.98,6.7
0.5,6.8
0.5,6.8
0.57,6.8
0.7,6.8
0.75,6.8
0.45,6.9
0.46,6.9
0.5,6.9
0.64,6.9
0.7,6.9
0.85,6.9
0.71,7.2
0.74,7.2
0.74,7.3
0.3,7.4
0.46,7.4
0.3,7.5
0.71,7.6
0.36,7.7
0.54,7.8
0.57,7.8
0.69,7.8
0.71,7.8
0.77,7.8
0,8
1.1,8
1.37,8
0.65,8.1
1,8.1
1,8.1
1.02,8.1
1.23,8.1
1.35,8.1
1.38,8.1
0.67,8.2
0.68,8.2
0.71,8.2
0.96,8.2
1.7,8.2
1.95,8.2
0.61,8.3
0.71,8.3
0.89,8.3
0.9,8.3
0.91,8.3
0.91,8.3
1.05,8.3
1.12,8.3
1.12,8.3
1.38,8.3
1.74,8.3
0,8.4
0.88,8.4
1.08,8.4
1.13,8.4
1.21,8.4
0.68,8.5
0.73,8.5
1.02,8.5
1.16,8.5
1.23,8.5
1.45,8.5
1.83,8.5
0.69,8.6
0.8,8.6
1,8.6
1.13,8.6
1.16,8.6
1.28,8.6
1.41,8.6
1.44,8.6
1.05,8.7
1.08,8.7
1.18,8.7
1.37,8.7
1.5,8.7
0.8,8.8
0.99,8.8
