raw,age,percentile,n,m,md,sd,normValue
2,3.5,0.010496183,524,13.40076336,13,5.061729784,26.919
3,3.5,0.021946565,524,13.40076336,13,5.061729784,29.849
1,3.7,0.002862595,524,13.40076336,13,5.061729784,22.369
8,3.9,0.159351145,524,13.40076336,13,5.061729784,40.029
3,4.1,0.021946565,524,13.40076336,13,5.061729784,29.849
5,4.1,0.047709924,524,13.40076336,13,5.061729784,33.325
3,4.2,0.021946565,524,13.40076336,13,5.061729784,29.849
2,4.2,0.010496183,524,13.40076336,13,5.061729784,26.919
1,4.3,0.002862595,524,13.40076336,13,5.061729784,22.369
2,4.3,0.010496183,524,13.40076336,13,5.061729784,26.919
2,4.4,0.010496183,524,13.40076336,13,5.061729784,26.919
6,4.5,0.072519084,524,13.40076336,13,5.061729784,35.427
6,4.6,0.072519084,524,13.40076336,13,5.061729784,35.427
2,4.8,0.010496183,524,13.40076336,13,5.061729784,26.919
4,4.8,0.036259542,524,13.40076336,13,5.061729784,32.042
3,5.1,0.021946565,524,13.40076336,13,5.061729784,29.849
4,5.2,0.036259542,524,13.40076336,13,5.061729784,32.042
7,5.4,0.113549618,524,13.40076336,13,5.061729784,37.921
6,5.5,0.072519084,524,13.40076336,13,5.061729784,35.427
8,5.5,0.159351145,524,13.40076336,13,5.061729784,40.029
7,5.6,0.113549618,524,13.40076336,13,5.061729784,37.921
4,5.7,0.036259542,524,13.40076336,13,5.061729784,32.042
4,5.7,0.036259542,524,13.40076336,13,5.061729784,32.042
8,5.8,0.159351145,524,13.40076336,13,5.061729784,40.029
6,5.8,0.072519084,524,13.40076336,13,5.061729784,35.427
7,5.9,0.113549618,524,13.40076336,13,5.061729784,37.921
5,5.9,0.047709924,524,13.40076336,13,5.061729784,33.325
7,5.9,0.113549618,524,13.40076336,13,5.061729784,37.921
7,6.1,0.113549618,524,13.40076336,13,5.061729784,37.921
7,6.3,0.113549618,524,13.40076336,13,5.061729784,37.921
10,6.3,0.26240458,524,13.40076336,13,5.061729784,43.641
14,6.3,0.542938931,524,13.40076336,13,5.061729784,51.078
4,6.3,0.036259542,524,13.40076336,13,5.061729784,32.042
10,6.3,0.26240458,524,13.40076336,13,5.061729784,43.641
15,6.3,0.618320611,524,13.40076336,13,5.061729784,53.011
8,6.4,0.159351145,524,13.40076336,13,5.061729784,40.029
11,6.4,0.323473282,524,13.40076336,13,5.061729784,45.42
6,6.5,0.072519084,524,13.40076336,13,5.061729784,35.427
6,6.5,0.072519084,524,13.40076336,13,5.061729784,35.427
7,6.5,0.113549618,524,13.40076336,13,5.061729784,37.921
13,6.5,0.461832061,524,13.40076336,13,5.061729784,49.042
7,6.5,0.113549618,524,13.40076336,13,5.061729784,37.921
14,6.5,0.542938931,524,13.40076336,13,5.061729784,51.078
8,6.7,0.159351145,524,13.40076336,13,5.061729784,40.029
7,6.7,0.113549618,524,13.40076336,13,5.061729784,37.921
7,6.7,0.113549618,524,13.40076336,13,5.061729784,37.921
8,6.7,0.159351145,524,13.40076336,13,5.061729784,40.029
9,6.7,0.207061069,524,13.40076336,13,5.061729784,41.833
8,6.8,0.159351145,524,13.40076336,13,5.061729784,40.029
1,6.8,0.002862595,524,13.40076336,13,5.061729784,22.369
4,6.8,0.036259542,524,13.40076336,13,5.061729784,32.042
6,6.8,0.072519084,524,13.40076336,13,5.061729784,35.427
14,6.8,0.542938931,524,13.40076336,13,5.061729784,51.078
11,6.9,0.323473282,524,13.40076336,13,5.061729784,45.42
12,6.9,0.386450382,524,13.40076336,13,5.061729784,47.114
12,6.9,0.386450382,524,13.40076336,13,5.061729784,47.114
12,6.9,0.386450382,524,13.40076336,13,5.061729784,47.114
13,6.9,0.461832061,524,13.40076336,13,5.061729784,49.042
15,7.1,0.618320611,524,13.40076336,13,5.061729784,53.011
6,7.2,0.072519084,524,13.40076336,13,5.061729784,35.427
12,7.3,0.386450382,524,13.40076336,13,5.061729784,47.114
17,7.4,0.740458015,524,13.40076336,13,5.061729784,56.448
15,7.4,0.618320611,524,13.40076336,13,5.061729784,53.011
18,7.5,0.808206107,524,13.40076336,13,5.061729784,58.713
6,7.6,0.072519084,524,13.40076336,13,5.061729784,35.427
15,7.7,0.618320611,524,13.40076336,13,5.061729784,53.011
6,7.8,0.072519084,524,13.40076336,13,5.061729784,35.427
11,7.8,0.323473282,524,13.40076336,13,5.061729784,45.42
12,7.8,0.386450382,524,13.40076336,13,5.061729784,47.114
10,7.8,0.26240458,524,13.40076336,13,5.061729784,43.641
11,7.8,0.323473282,524,13.40076336,13,5.061729784,45.42
14,8,0.542938931,524,13.40076336,13,5.061729784,51.078
9,8,0.207061069,524,13.40076336,13,5.061729784,41.833
16,8,0.679389313,524,13.40076336,13,5.061729784,54.66
8,8,0.159351145,524,13.40076336,13,5.061729784,40.029
11,8.1,0.323473282,524,13.40076336,13,5.061729784,45.42
17,8.1,0.740458015,524,13.40076336,13,5.061729784,56.448
3,8.1,0.021946565,524,13.40076336,13,5.061729784,29.849
12,8.1,0.386450382,524,13.40076336,13,5.061729784,47.114
9,8.1,0.207061069,524,13.40076336,13,5.061729784,41.833
12,8.1,0.386450382,524,13.40076336,13,5.061729784,47.114
13,8.2,0.461832061,524,13.40076336,13,5.061729784,49.042
6,8.2,0.072519084,524,13.40076336,13,5.061729784,35.427
10,8.2,0.26240458,524,13.40076336,13,5.061729784,43.641
11,8.2,0.323473282,524,13.40076336,13,5.061729784,45.42
9,8.2,0.207061069,524,13.40076336,13,5.061729784,41.833
10,8.2,0.26240458,524,13.40076336,13,5.061729784,43.641
8,8.3,0.159351145,524,13.40076336,13,5.061729784,40.029
7,8.3,0.113549618,524,13.40076336,13,5.061729784,37.921
8,8.3,0.159351145,524,13.40076336,13,5.061729784,40.029
10,8.3,0.26240458,524,13.40076336,13,5.061729784,43.641
11,8.3,0.323473282,524,13.40076336,13,5.061729784,45.42
14,8.3,0.542938931,524,13.40076336,13,5.061729784,51.078
6,8.3,0.072519084,524,13.40076336,13,5.061729784,35.427
8,8.3,0.159351145,524,13.40076336,13,5.061729784,40.029
10,8.3,0.26240458,524,13.40076336,13,5.061729784,43.641
14,8.3,0.542938931,524,13.40076336,13,5.061729784,51.078
10,8.3,0.26240458,524,13.40076336,13,5.061729784,43.641
5,8.4,0.047709924,524,13.40076336,13,5.061729784,33.325
13,8.4,0.461832061,524,13.40076336,13,5.061729784,49.042
8,8.4,0.159351145,524,13.40076336,13,5.061729784,40.029
10,8.4,0.26240458,524,13.40076336,13,5.061729784,43.641
13,8.4,0.461832061,524,13.40076336,13,5.061729784,49.042
9,8.5,0.207061069,524,13.40076336,13,5.061729784,41.833
9,8.5,0.207061069,524,13.40076336,13,5.061729784,41.833
7,8.5,0.113549618,524,13.40076336,13,5.061729784,37.921
9,8.5,0.207061069,524,13.40076336,13,5.061729784,41.833
10,8.5,0.26240458,524,13.40076336,13,5.061729784,43.641
14,8.5,0.542938931,524,13.40076336,13,5.061729784,51.078
17,8.5,0.740458015,524,13.40076336,13,5.061729784,56.448
17,8.6,0.740458015,524,13.40076336,13,5.061729784,56.448
18,8.6,0.808206107,524,13.40076336,13,5.061729784,58.713
11,8.6,0.323473282,524,13.40076336,13,5.061729784,45.42
12,8.6,0.386450382,524,13.40076336,13,5.061729784,47.114
13,8.6,0.461832061,524,13.40076336,13,5.061729784,49.042
14,8.6,0.542938931,524,13.40076336,13,5.061729784,51.078
17,8.6,0.740458015,524,13.40076336,13,5.061729784,56.448
20,8.6,0.897900763,524,13.40076336,13,5.061729784,62.697
13,8.7,0.461832061,524,13.40076336,13,5.061729784,49.042
14,8.7,0.542938931,524,13.40076336,13,5.061729784,51.078
10,8.7,0.26240458,524,13.40076336,13,5.061729784,43.641
12,8.7,0.386450382,524,13.40076336,13,5.061729784,47.114
5,8.8,0.047709924,524,13.40076336,13,5.061729784,33.325
18,8.8,0.808206107,524,13.40076336,13,5.061729784,58.713
12,8.8,0.386450382,524,13.40076336,13,5.061729784,47.114
14,8.8,0.542938931,524,13.40076336,13,5.061729784,51.078
11,8.9,0.323473282,524,13.40076336,13,5.061729784,45.42
11,8.9,0.323473282,524,13.40076336,13,5.061729784,45.42
16,8.9,0.679389313,524,13.40076336,13,5.061729784,54.66
3,8.9,0.021946565,524,13.40076336,13,5.061729784,29.849
18,8.9,0.808206107,524,13.40076336,13,5.061729784,58.713
12,8.9,0.386450382,524,13.40076336,13,5.061729784,47.114
15,8.9,0.618320611,524,13.40076336,13,5.061729784,53.011
10,8.9,0.26240458,524,13.40076336,13,5.061729784,43.641
14,8.9,0.542938931,524,13.40076336,13,5.061729784,51.078
10,9,0.26240458,524,13.40076336,13,5.061729784,43.641
9,9,0.207061069,524,13.40076336,13,5.061729784,41.833
10,9.1,0.26240458,524,13.40076336,13,5.061729784,43.641
13,9.1,0.461832061,524,13.40076336,13,5.061729784,49.042
18,9.1,0.808206107,524,13.40076336,13,5.061729784,58.713
13,9.2,0.461832061,524,13.40076336,13,5.061729784,49.042
11,9.2,0.323473282,524,13.40076336,13,5.061729784,45.42
21,9.2,0.935114504,524,13.40076336,13,5.061729784,65.15
8,9.2,0.159351145,524,13.40076336,13,5.061729784,40.029
11,9.2,0.323473282,524,13.40076336,13,5.061729784,45.42
14,9.2,0.542938931,524,13.40076336,13,5.061729784,51.078
14,9.3,0.542938931,524,13.40076336,13,5.061729784,51.078
14,9.3,0.542938931,524,13.40076336,13,5.061729784,51.078
23,9.3,0.97519084,524,13.40076336,13,5.061729784,69.632
8,9.3,0.159351145,524,13.40076336,13,5.061729784,40.029
21,9.4,0.935114504,524,13.40076336,13,5.061729784,65.15
12,9.4,0.386450382,524,13.40076336,13,5.061729784,47.114
